City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Kudahuvadhoo,MV,2021-11-26 00:41:59,2.6708,72.8944,81.21,71,62,13.8,broken clouds
60,Luz,BR,2021-11-26 00:42:00,-19.8014,-45.6856,72.64,70,72,4.92,broken clouds
61,Nieuw Amsterdam,SR,2021-11-26 00:42:00,5.8833,-55.0833,80.62,89,20,2.3,few clouds
62,Thompson,CA,2021-11-26 00:39:18,55.7435,-97.8558,-3.84,77,75,3.44,broken clouds
63,Gueret,FR,2021-11-26 00:42:01,46.1667,1.8667,34.43,98,95,2.01,overcast clouds
64,Guerrero Negro,MX,2021-11-26 00:42:01,27.9769,-114.0611,69.15,52,0,5.44,clear sky
65,Hobyo,SO,2021-11-26 00:42:02,5.3505,48.5268,80.2,81,100,15.1,moderate rain
66,Fallon,US,2021-11-26 00:42:02,39.4735,-118.7774,45.28,36,1,6.91,clear sky
67,Shelburne,CA,2021-11-26 00:42:03,44.0787,-80.2041,39.65,98,100,13.24,overcast clouds
68,Muisne,EC,2021-11-26 00:42:03,0.6,-80.0333,74.08,79,100,7.49,overcast clouds
69,Mataura,NZ,2021-11-26 00:37:56,-46.1927,168.8643,59.49,70,99,5.82,overcast clouds
70,Jamestown,US,2021-11-26 00:35:29,42.097,-79.2353,44.19,95,90,8.01,mist
71,Larap,PH,2021-11-26 00:42:04,14.299,122.6504,80.91,86,100,11.23,overcast clouds
72,Constitucion,CL,2021-11-26 00:42:05,-35.3333,-72.4167,57.11,77,0,13.82,clear sky
73,Alugan,PH,2021-11-26 00:42:05,12.2188,125.4808,83.14,82,100,8.23,overcast clouds
74,Port Shepstone,ZA,2021-11-26 00:42:06,-30.7414,30.455,64.2,76,100,6.91,overcast clouds
75,Isangel,VU,2021-11-26 00:37:47,-19.55,169.2667,89.71,58,75,11.5,broken clouds
76,Loding,NO,2021-11-26 00:42:06,67.3,14.75,19.31,79,75,4.0,broken clouds
77,East London,ZA,2021-11-26 00:37:48,-33.0153,27.9116,62.31,83,100,14.29,light rain
78,Nusaybin,TR,2021-11-26 00:42:07,37.0778,41.2178,54.99,62,75,9.22,light rain
79,Santiago De Cao,PE,2021-11-26 00:42:08,-7.9589,-79.2392,64.53,94,20,5.75,few clouds
80,Cape Town,ZA,2021-11-26 00:37:49,-33.9258,18.4232,66.09,59,0,5.75,clear sky
81,Rundu,NA,2021-11-26 00:42:08,-17.9333,19.7667,72.34,48,96,7.47,light rain
82,Puerto Ayora,EC,2021-11-26 00:39:05,-0.7393,-90.3518,70.56,88,45,7.0,scattered clouds
83,Chuy,UY,2021-11-26 00:42:09,-33.6971,-53.4616,63.18,98,100,5.68,light rain
84,Sao Filipe,CV,2021-11-26 00:42:09,14.8961,-24.4956,78.13,74,98,9.82,overcast clouds
85,Ostersund,SE,2021-11-26 00:37:40,63.1792,14.6357,23.61,93,40,3.44,scattered clouds
86,Inongo,CD,2021-11-26 00:42:10,-1.95,18.2667,70.0,96,100,3.33,overcast clouds
87,Castro,BR,2021-11-26 00:42:10,-24.7911,-50.0119,69.64,61,100,3.67,overcast clouds
88,Barahan,PH,2021-11-26 00:42:11,13.0121,120.762,84.63,69,100,2.3,overcast clouds
89,Abu Dhabi,AE,2021-11-26 00:40:40,24.4667,54.3667,76.96,99,0,2.3,clear sky
90,New Norfolk,AU,2021-11-26 00:43:11,-42.7826,147.0587,60.91,41,62,3.0,broken clouds
91,Yendi,GH,2021-11-26 00:43:12,9.4427,-0.0099,79.12,26,5,1.95,clear sky
92,Konevo,RU,2021-11-26 00:43:12,62.1215,39.3192,33.85,99,100,8.3,light rain
93,Labuan,MY,2021-11-26 00:43:13,5.2767,115.2417,84.56,79,20,1.99,few clouds
94,Victoria,HK,2021-11-26 00:34:58,22.2855,114.1577,70.95,63,0,1.01,clear sky
95,Chapada Dos Guimaraes,BR,2021-11-26 00:43:13,-15.4606,-55.7497,74.86,93,100,5.57,overcast clouds
96,Qasigiannguit,GL,2021-11-26 00:43:14,68.8193,-51.1922,23.25,80,100,4.65,overcast clouds
97,Lorengau,PG,2021-11-26 00:43:14,-2.0226,147.2712,85.3,65,94,6.26,overcast clouds
98,Bloemhof,ZA,2021-11-26 00:43:15,-27.6469,25.607,58.57,78,100,22.12,light rain
99,Altamira,BR,2021-11-26 00:43:15,-3.2033,-52.2064,74.25,94,91,1.39,overcast clouds
100,Lavrentiya,RU,2021-11-26 00:43:16,65.5833,-171.0,-6.21,88,10,9.22,clear sky
101,Kapaa,US,2021-11-26 00:37:55,22.0752,-159.319,82.72,73,40,1.99,light rain
102,Lerwick,GB,2021-11-26 00:43:16,60.1545,-1.1494,42.8,82,100,13.85,overcast clouds
103,Ambilobe,MG,2021-11-26 00:43:17,-13.2,49.05,75.76,78,84,2.06,broken clouds
