City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Albany,US,2021-11-23 05:37:42,42.6001,-73.9662,273.2,72,18,0.45
68,Rikitea,PF,2021-11-23 05:41:45,-23.1203,-134.9692,297.57,78,0,4.87
69,Chapais,CA,2021-11-23 05:41:45,49.7834,-74.8492,262.03,91,100,4.1
70,Tasiilaq,GL,2021-11-23 05:41:46,65.6145,-37.6368,270.24,66,97,4.09
71,Bambous Virieux,MU,2021-11-23 05:41:46,-20.3428,57.7575,300.49,69,40,3.09
72,Yellowknife,CA,2021-11-23 05:35:29,62.456,-114.3525,250.05,77,75,7.72
73,Jamestown,US,2021-11-23 05:38:21,42.097,-79.2353,273.92,67,90,4.47
74,Russkaya Polyana,UA,2021-11-23 05:41:47,49.417,31.9201,274.11,59,99,2.82
75,Kodiak,US,2021-11-23 05:36:57,57.79,-152.4072,261.88,62,1,3.09
76,Mataura,NZ,2021-11-23 05:41:48,-46.1927,168.8643,288.77,53,69,2.82
77,Korla,CN,2021-11-23 05:41:48,41.7597,86.1469,274.82,44,7,2.22
78,Yumen,CN,2021-11-23 05:41:49,40.2833,97.2,276.16,21,6,12.25
79,Outjo,NA,2021-11-23 05:41:50,-20.1167,16.15,293.3,15,0,2.9
80,Cedar City,US,2021-11-23 05:37:02,37.6775,-113.0619,272.69,40,1,0.0
81,Cape Town,ZA,2021-11-23 05:41:50,-33.9258,18.4232,293.77,64,0,8.23
82,Hobart,AU,2021-11-23 05:41:51,-42.8794,147.3294,298.27,54,40,0.89
83,Port Lincoln,AU,2021-11-23 05:41:51,-34.7333,135.8667,294.35,58,72,4.1
84,Innisfail,AU,2021-11-23 05:41:52,-17.5333,146.0333,302.09,69,18,4.1
85,Marsa Matruh,EG,2021-11-23 05:41:52,31.3525,27.2453,286.26,94,8,2.06
86,Cowra,AU,2021-11-23 05:41:52,-33.8333,148.6833,297.19,66,100,1.47
87,Rantepao,ID,2021-11-23 05:41:53,-2.9701,119.8978,299.09,83,30,1.31
88,Tautira,PF,2021-11-23 05:41:53,-17.7333,-149.15,299.16,78,88,6.33
89,Faanui,PF,2021-11-23 05:41:54,-16.4833,-151.75,300.33,77,97,4.74
90,Victoria,HK,2021-11-23 05:42:54,22.2855,114.1577,291.62,81,80,0.45
91,Torbay,CA,2021-11-23 05:42:55,47.6666,-52.7314,276.25,82,90,6.69
92,Norman Wells,CA,2021-11-23 05:42:55,65.282,-126.8329,245.17,76,75,3.09
93,Kota Belud,MY,2021-11-23 05:42:55,6.351,116.4305,305.07,70,72,2.3
94,Beloha,MG,2021-11-23 05:42:56,-25.1667,45.05,302.79,48,54,2.66
95,Mayo,US,2021-11-23 05:42:56,38.8876,-76.5119,276.57,57,65,1.34
96,Irbeyskoye,RU,2021-11-23 05:42:57,55.6428,95.4522,273.72,68,58,4.6
97,Teguise,ES,2021-11-23 05:42:57,29.0605,-13.564,289.27,88,81,1.03
98,Necochea,AR,2021-11-23 05:42:37,-38.5473,-58.7368,280.95,70,1,3.48
99,Port Blair,IN,2021-11-23 05:41:20,11.6667,92.75,302.4,70,83,5.33
100,Kapaa,US,2021-11-23 05:42:58,22.0752,-159.319,299.33,79,90,0.89
101,Butaritari,KI,2021-11-23 05:42:59,3.0707,172.7902,301.13,77,20,5.96
102,Grindavik,IS,2021-11-23 05:42:59,63.8424,-22.4338,278.41,65,75,6.17
103,Tazovskiy,RU,2021-11-23 05:43:00,67.4667,78.7,263.49,94,100,6.55
104,Bitung,ID,2021-11-23 05:43:00,1.4451,125.1824,303.62,75,82,4.98
105,Port Alfred,ZA,2021-11-23 05:43:01,-33.5906,26.891,291.34,76,93,10.87
106,Burnie,AU,2021-11-23 05:43:01,-41.0667,145.9167,290.09,76,100,3.44
107,Nikolskoye,RU,2021-11-23 05:43:02,59.7035,30.7861,270.94,91,99,2.52
108,Turayf,SA,2021-11-23 05:43:02,31.6725,38.6637,281.29,93,0,2.57
109,Shache,CN,2021-11-23 05:43:03,38.4167,77.2406,278.17,24,0,1.87
110,Wagar,SD,2021-11-23 05:43:03,16.1525,36.2032,297.72,64,44,4.25
111,Galiakot,IN,2021-11-23 05:43:03,23.5167,74.0,302.05,47,1,0.38
112,Agirish,RU,2021-11-23 05:43:04,61.9247,63.0231,261.37,93,93,2.72
113,Chuy,UY,2021-11-23 05:43:04,-33.6971,-53.4616,289.76,66,7,7.03
114,Horsham,GB,2021-11-23 05:43:05,51.064,-0.3272,277.73,94,75,0.51
115,Shingu,JP,2021-11-23 05:43:05,33.7333,135.9833,286.7,57,4,6.29
116,Hithadhoo,MV,2021-11-23 05:43:06,-0.6,73.0833,300.46,79,100,8.23
117,Lazaro Cardenas,MX,2021-11-23 05:43:07,17.9583,-102.2,297.15,88,6,1.71
118,Gijon,ES,2021-11-23 05:43:07,43.5357,-5.6615,285.26,82,100,5.36
119,Coquimbo,CL,2021-11-23 05:43:07,-29.9533,-71.3436,288.0,82,90,2.57
120,Alofi,NU,2021-11-23 05:43:08,-19.0595,-169.9187,300.09,69,67,4.12
121,Viedma,AR,2021-11-23 05:43:08,-40.8135,-62.9967,282.31,70,8,2.96
122,Requena,ES,2021-11-23 05:43:09,39.4883,-1.1004,279.75,87,100,1.77
123,Gushikawa,JP,2021-11-23 05:42:39,26.3544,127.8686,294.72,58,75,5.66
124,Morant Bay,JM,2021-11-23 05:43:10,17.8815,-76.4093,299.94,82,97,1.79
125,Olafsvik,IS,2021-11-23 05:43:10,64.8945,-23.7142,277.67,60,77,6.57
126,Paita,PE,2021-11-23 05:43:10,-5.0892,-81.1144,292.02,78,62,2.79
127,Girne,CY,2021-11-23 05:43:11,35.3417,33.3167,289.12,69,11,3.09
128,Busselton,AU,2021-11-23 05:43:11,-33.65,115.3333,295.39,44,0,6.33
129,Ucluelet,CA,2021-11-23 05:42:01,48.9329,-125.5528,280.42,92,100,1.63
